,country,lat,long_,mortality_rate
0,Afghanistan,33.93911,67.709953,4.65
1,Albania,41.1533,20.1683,1.6
2,Algeria,28.0339,1.6596,2.8
3,Andorra,42.5063,1.5218,0.86
4,Angola,-11.2027,17.8739,2.66
5,Antigua and Barbuda,17.0608,-61.7964,2.08
6,Argentina,-38.4161,-63.6167,2.18
7,Armenia,40.0691,45.0382,2.02
8,Australia,-25.0,133.0,1.42
9,Austria,47.5162,14.5501,1.52
10,Azerbaijan,40.1431,47.5769,1.33
11,Bahamas,25.025885,-78.035889,2.36
12,Bahrain,26.0275,50.55,0.51
13,Bangladesh,23.685,90.3563,1.76
14,Barbados,13.1939,-59.5432,0.86
15,Belarus,53.7098,27.9534,0.78
16,Belgium,50.8333,4.469936,2.1
17,Belize,17.1899,-88.4976,2.13
18,Benin,9.3077,2.3158,0.68
19,Bhutan,27.5142,90.4336,0.12
20,Bolivia,-16.2902,-63.5887,3.75
21,Bosnia and Herzegovina,43.9159,17.6791,4.52
22,Botswana,-22.3285,24.6849,1.41
23,Brazil,-14.235,-51.9253,2.8
24,Brunei,4.5353,114.7277,0.5
25,Bulgaria,42.7339,25.4858,4.15
26,Burkina Faso,12.2383,-1.5616,1.23
27,Burma,21.9162,95.956,3.82
28,Burundi,-3.3731,29.9189,0.27
29,Cabo Verde,16.5388,-23.0418,0.88
30,Cambodia,11.55,104.9167,2.04
31,Cameroon,3.848,11.5021,1.61
32,Canada,60.00100000000001,-95.001,1.75
33,Central African Republic,6.6111,20.9394,0.88
34,Chad,15.4542,18.7322,3.47
35,Chile,-35.6751,-71.543,2.26
36,China,30.5928,114.3055,4.51
37,Colombia,4.5709,-74.2973,2.55
38,Comoros,-11.6455,43.3333,3.59
39,Congo (Brazzaville),-0.228,15.8277,1.34
40,Congo (Kinshasa),-4.0383,21.7587,1.9
41,Costa Rica,9.7489,-83.7534,1.18
42,Cote d'Ivoire,7.54,-5.5471,0.92
43,Croatia,45.1,15.2,2.19
44,Cuba,21.521757,-77.78116700000002,0.85
45,Cyprus,35.1264,33.4299,0.46
46,Czechia,49.8175,15.473,1.81
47,Denmark,56.2639,9.5018,0.74
48,Diamond Princess,,,1.83
49,Djibouti,11.8251,42.5903,1.32
50,Dominica,15.415,-61.371,0.3
51,Dominican Republic,18.7357,-70.1627,1.14
52,Ecuador,-1.8312,-78.1834,6.43
53,Egypt,26.820553000000004,30.802498,5.75
54,El Salvador,13.7942,-88.8965,3.07
55,Equatorial Guinea,1.6508,10.2679,1.25
56,Eritrea,15.1794,39.7823,0.6
57,Estonia,58.5953,25.0136,0.89
58,Eswatini,-26.5225,31.4659,2.63
59,Ethiopia,9.145,40.4897,1.54
60,Fiji,-17.7134,178.065,1.09
61,Finland,61.9241,25.7482,0.78
62,France,46.2276,2.2137,1.66
63,Gabon,-0.8037,11.6094,0.64
64,Gambia,13.4432,-15.3101,3.34
65,Georgia,42.3154,43.3569,1.42
66,Germany,51.165691,10.451526,2.26
67,Ghana,7.9465,-1.0232,0.89
68,Greece,39.0742,21.8243,2.3
69,Grenada,12.1165,-61.679,1.39
70,Guatemala,15.7835,-90.2308,2.47
71,Guinea,9.9456,-9.6966,1.22
72,Guinea-Bissau,11.8037,-15.1804,2.11
73,Guyana,4.860416000000002,-58.93018000000001,2.45
74,Haiti,18.9712,-72.2852,2.8
75,Holy See,41.9029,12.4534,0.0
76,Honduras,15.2,-86.2419,2.65
77,Hungary,47.1625,19.5033,3.69
78,Iceland,64.9631,-19.0208,0.29
79,India,20.593684,78.96288,1.33
80,Indonesia,-0.7893,113.9213,3.34
81,Iran,32.427908,53.68804599999999,2.16
82,Iraq,33.223191,43.679291,1.1
83,Ireland,53.1424,-7.6921,1.4
84,Israel,31.046051,34.851612,0.62
85,Italy,41.8719,12.5674,2.82
86,Jamaica,18.1096,-77.2975,2.27
87,Japan,36.204824,138.252924,1.02
88,Jordan,31.24,36.51,1.3
89,Kazakhstan,48.0196,66.9237,1.63
90,Kenya,-0.0236,37.9062,2.02
91,Kiribati,-3.3704,-168.734,0.0
92,"Korea, South",35.90775700000001,127.766922,0.86
93,Kosovo,42.602636,20.902977,1.8
94,Kuwait,29.31166,47.481766,0.59
95,Kyrgyzstan,41.20438,74.766098,1.45
96,Laos,19.85627,102.495496,0.09
97,Latvia,56.8796,24.6032,1.77
98,Lebanon,33.8547,35.8623,1.34
99,Lesotho,-29.61,28.2336,2.8
100,Liberia,6.4280550000000005,-9.429499,4.28
101,Libya,26.3351,17.228331,1.36
102,Liechtenstein,47.14,9.55,1.77
103,Lithuania,55.1694,23.8813,1.52
104,Luxembourg,49.8153,6.1296,1.08
105,MS Zaandam,,,22.22
106,Madagascar,-18.766947,46.869107,2.23
107,Malawi,-13.2543,34.3015,3.67
108,Malaysia,4.210483999999999,101.975766,1.08
109,Maldives,3.2028,73.2207,0.27
110,Mali,17.570692,-3.996166000000001,3.62
111,Malta,35.9375,14.3754,1.22
112,Marshall Islands,7.1315,171.1845,0.0
113,Mauritania,21.0079,-10.9408,2.17
114,Mauritius,-20.348404,57.552152,0.33
115,Mexico,23.6345,-102.5528,7.62
116,Micronesia,7.4256,150.5508,0.0
117,Moldova,47.4116,28.3699,2.37
118,Monaco,43.7333,7.4167,1.0
119,Mongolia,46.8625,103.8467,0.4
120,Montenegro,42.708678000000006,19.37439,1.47
121,Morocco,31.7917,-7.0926,1.51
122,Mozambique,-18.665695,35.529562,1.27
123,Namibia,-22.9576,18.4904,2.72
124,Nepal,28.1667,84.25,1.41
125,Netherlands,52.3167,5.55,0.92
126,New Zealand,-40.9006,174.886,0.68
127,Nicaragua,12.865416,-85.207229,1.55
128,Niger,17.607789,8.081666,3.39
129,Nigeria,9.082,8.6753,1.32
130,North Macedonia,41.6086,21.7453,3.42
131,Norway,60.472,8.4689,0.47
132,Oman,21.512583,55.92325500000001,1.35
133,Pakistan,30.3753,69.3451,2.22
134,Palau,7.515,134.5825,0.0
135,Panama,8.538,-80.7821,1.55
136,Papua New Guinea,-6.314993,143.95555,1.1
137,Paraguay,-23.4425,-58.4438,3.51
138,Peru,-9.19,-75.0152,9.2
139,Philippines,12.879721,121.774017,1.57
140,Poland,51.9194,19.1451,2.61
141,Portugal,39.3999,-8.2245,1.69
142,Qatar,25.3548,51.1839,0.26
143,Romania,45.9432,24.9668,3.11
144,Russia,61.524,105.3188,2.7
145,Rwanda,-1.9403,29.8739,1.26
146,Saint Kitts and Nevis,17.357822,-62.782998,0.53
147,Saint Lucia,13.9094,-60.9789,1.35
148,Saint Vincent and the Grenadines,12.9843,-61.2872,0.51
149,Samoa,-13.759,-172.1046,0.0
150,San Marino,43.9424,12.4578,1.67
151,Sao Tome and Principe,0.1864,6.6131,1.46
152,Saudi Arabia,23.885942,45.079162,1.58
153,Senegal,14.4974,-14.4524,2.5
154,Serbia,44.0165,21.0059,0.91
155,Seychelles,-4.6796,55.492,0.51
156,Sierra Leone,8.460555000000001,-11.779889,1.89
157,Singapore,1.2833,103.8333,0.08
158,Slovakia,48.669,19.699,3.14
159,Slovenia,46.1512,14.9955,1.6
160,Solomon Islands,-9.6457,160.1562,0.0
161,Somalia,5.152149,46.199616,5.56
162,South Africa,-30.5595,22.9375,2.98
163,South Sudan,6.877000000000002,31.307,1.03
164,Spain,40.463667,-3.74922,1.74
165,Sri Lanka,7.873054,80.77179699999998,2.36
166,Sudan,12.8628,30.2176,7.57
167,Summer Olympics 2020,35.6491,139.7737,0.0
168,Suriname,3.9193,-56.0278,2.23
169,Sweden,60.1282,18.6435,1.29
170,Switzerland,46.8182,8.2275,1.34
171,Syria,34.802075,38.99681500000001,7.01
172,Taiwan*,23.7,121.0,5.21
173,Tajikistan,38.861,71.2761,0.71
174,Tanzania,-6.369028,34.888822,3.66
175,Thailand,15.870032,100.992541,1.04
176,Timor-Leste,-8.874217,125.727539,0.53
177,Togo,8.6195,0.8248,0.87
178,Trinidad and Tobago,10.6918,-61.2225,2.93
179,Tunisia,33.886917,9.537499,3.5
180,Turkey,38.9637,35.2433,0.9
181,US,40.0,-100.0,1.61
182,Uganda,1.373333,32.290275,2.55
183,Ukraine,48.3794,31.1656,2.39
184,United Arab Emirates,23.424076,53.847818,0.28
185,United Kingdom,55.0,-3.0,1.84
186,Uruguay,-32.5228,-55.7658,1.56
187,Uzbekistan,41.377491,64.585262,0.7
188,Vanuatu,-15.3767,166.9592,25.0
189,Venezuela,6.4238,-66.5897,1.21
190,Vietnam,14.058324,108.277199,2.51
191,West Bank and Gaza,31.9522,35.2332,1.02
192,Yemen,15.552727,48.516388,18.9
193,Zambia,-13.133897,27.849332,1.75
194,Zimbabwe,-19.015438,29.154857,3.59
